1,0.001488
2,0.0038
3,0.001352
4,0.002696
5,0.00128
6,0.002752
7,0.003872
8,0.004992
9,0.006272
10,0.007392
11,0.001488
12,0.00144
13,0.00336
14,0.002088
15,0.00112
16,0.00224
17,0.003648
18,0.003936
19,0.001488
20,0.002976
21,0.001488
22,0.002088
23,0.003888
24,0.001488
25,0.00284
26,0.003936
27,0.001488
28,0.001088
29,0.002208
30,0.00368
31,0.004912
32,0.001472
33,0.00144
34,0.001792
35,0.001488
36,0.001968
37,0.000672
38,0.002088
39,0.001824
40,0.003296
41,0.001488
42,0.00284
43,0.001352
44,0.003128
45,0.00336
46,0.007008
47,0.001488
48,0.00144
49,0.00288
50,0.004704
51,0.00144
52,0.001952
53,0.004064
54,0.00144
55,0.00288
56,0.004
57,0.005232
58,0.006352
59,0.001472
60,0.00144
61,0.00248
62,0.0038
63,0.00628
64,0.001488
65,0.001968
66,0.005264
67,0.008912
68,0.003288
69,0.001488
70,0.00284
71,0.001352
72,0.002792
