1556662139.280368000,76,1,27,24
1556662139.280370000,68,1,28,24
1556662139.280698000,1504,2,40,162
1556662139.280699000,245,2,40,162
1556662139.280700000,88,1,25,24
1556662139.280701000,76,1,27,24
1556662139.280702000,68,1,28,24
1556662139.280703000,349,2,40,162
1556662139.280826000,88,1,25,24
1556662139.286952000,84,2,36,24
1556662139.287023000,68,1,29,24
1556662139.294088000,258,0,8,6
1556662139.294291000,264,0,8,6
1556662139.299459000,136,2,40,300
1556662139.299460000,88,1,25,24
1556662139.299461000,136,2,40,300
1556662139.299462000,88,1,25,24
1556662139.299695000,136,2,40,300
1556662139.299696000,88,1,25,24
1556662139.330350000,84,2,36,24
1556662139.330351000,68,1,29,24
1556662139.344948000,413,2,40,300
1556662139.344949000,88,1,25,24
1556662139.345334000,76,1,27,24
1556662139.345335000,68,1,28,24
1556662139.345462000,136,2,40,162
1556662139.345463000,88,1,25,24
1556662139.345972000,84,2,44,24
1556662139.345973000,68,1,29,24
1556662139.393756000,84,2,44,24
1556662139.393758000,68,1,29,24
1556662139.396598000,258,0,8,6
1556662139.396850000,264,0,8,6
1556662139.426694000,76,1,27,24
1556662139.426698000,68,1,28,24
1556662139.426700000,174,2,40,270
1556662139.426701000,88,1,25,24
1556662139.426703000,84,2,44,24
1556662139.426705000,68,1,29,24
1556662139.426706000,76,1,27,24
1556662139.426707000,68,1,28,24
1556662139.426709000,159,2,40,270
1556662139.426710000,88,1,25,24
1556662139.427139000,174,2,40,270
1556662139.427145000,159,2,40,270
1556662139.427147000,88,1,25,24
1556662139.427815000,76,1,27,24
1556662139.427820000,68,1,28,24
1556662139.427822000,136,2,40,270
1556662139.427824000,88,1,25,24
1556662139.427825000,76,1,27,24
1556662139.427827000,68,1,28,24
1556662139.427829000,136,2,40,270
1556662139.427830000,88,1,25,24
1556662139.438512000,349,2,40,300
1556662139.438518000,88,1,25,24
1556662139.439054000,76,1,27,24
1556662139.439059000,68,1,28,24
1556662139.439061000,136,2,40,162
1556662139.439063000,88,1,25,24
1556662139.443431000,925,2,40,300
1556662139.443437000,88,1,25,24
1556662139.443439000,349,2,40,300
1556662139.443441000,88,1,25,24
1556662139.444047000,76,1,27,24
1556662139.444050000,68,1,28,24
1556662139.444052000,136,2,40,162
1556662139.444053000,136,2,40,162
1556662139.444055000,88,1,25,24
1556662139.444487000,136,2,40,300
1556662139.444519000,88,1,25,24
1556662139.444525000,136,2,40,300
1556662139.444526000,88,1,25,24
1556662139.444993000,136,2,40,300
1556662139.444997000,88,1,25,24
1556662139.445157000,136,2,40,300
1556662139.445253000,88,1,25,24
1556662139.445881000,76,1,27,24
1556662139.445887000,68,1,28,24
1556662139.445888000,136,2,40,270
1556662139.445890000,88,1,25,24
1556662139.448705000,237,2,40,300
1556662139.448712000,88,1,25,24
1556662139.448713000,189,2,40,300
1556662139.448715000,88,1,25,24
1556662139.449231000,76,1,27,24
1556662139.449237000,68,1,28,24
1556662139.449239000,136,2,40,162
1556662139.449241000,88,1,25,24
1556662139.449242000,136,2,40,162
1556662139.449244000,88,1,25,24
1556662139.454440000,136,2,40,300
1556662139.454446000,88,1,25,24
1556662139.454448000,136,2,40,300
1556662139.454450000,88,1,25,24
1556662139.454590000,136,2,40,300
1556662139.454594000,88,1,25,24
1556662139.455323000,76,1,27,24
1556662139.455325000,68,1,28,24
1556662139.455327000,136,2,40,270
1556662139.455329000,76,1,27,24
1556662139.455496000,68,1,28,24
1556662139.455497000,136,2,40,270
1556662139.455634000,76,1,27,24
1556662139.455636000,68,1,28,24
1556662139.455638000,136,2,40,270
1556662139.455825000,76,1,27,24
1556662139.455829000,68,1,28,24
1556662139.455882000,136,2,40,162
1556662139.455885000,88,1,25,24
1556662139.499230000,258,0,8,6
1556662139.499238000,264,0,8,6
1556662139.532947000,84,2,44,24
1556662139.532953000,68,1,29,24
1556662139.580371000,84,2,44,24
1556662139.580376000,68,1,29,24
1556662139.601648000,258,0,8,6
1556662139.601654000,264,0,8,6
1556662139.614997000,76,1,27,24
1556662139.615002000,68,1,28,24
1556662139.615004000,329,2,40,243
1556662139.615006000,88,1,25,24
1556662139.615008000,84,2,36,24
1556662139.615009000,68,1,29,24
1556662139.632561000,136,2,40,300
1556662139.632567000,88,1,25,24
1556662139.655241000,84,2,36,24
1556662139.655247000,68,1,29,24
1556662139.663210000,84,2,44,24
1556662139.663216000,68,1,29,24
1556662139.693679000,354,2,40,300
1556662139.693684000,88,1,25,24
1556662139.693686000,484,2,40,300
1556662139.693688000,88,1,25,24
1556662139.694167000,76,1,27,24
1556662139.694168000,68,1,28,24
1556662139.694170000,136,2,40,243
1556662139.694171000,136,2,40,243
1556662139.694173000,88,1,25,24
1556662139.695521000,168,2,40,300
1556662139.695523000,88,1,25,24
1556662139.695525000,167,2,40,300
1556662139.695526000,88,1,25,24
1556662139.695942000,175,2,40,300
1556662139.695944000,88,1,25,24
1556662139.695945000,76,1,27,24
1556662139.696023000,68,1,28,24
1556662139.696024000,136,2,40,243
1556662139.696026000,136,2,40,243
1556662139.696034000,88,1,25,24
1556662139.696557000,76,1,27,24
1556662139.696565000,68,1,28,24
1556662139.696567000,136,2,40,243
1556662139.696568000,88,1,25,24
1556662139.697063000,76,1,27,24
1556662139.697064000,68,1,28,24
1556662139.697066000,175,2,40,243
1556662139.697067000,88,1,25,24
1556662139.703811000,258,0,8,6
1556662139.704406000,264,0,8,6
1556662139.705135000,84,2,36,24
1556662139.705141000,68,1,29,24
1556662139.705143000,142,2,40,150
1556662139.705144000,88,1,25,24
1556662139.718228000,136,2,40,300
1556662139.718233000,88,1,25,24
1556662139.719453000,84,2,44,24
1556662139.719459000,68,1,29,24
1556662139.721329000,84,2,36,24
1556662139.721335000,68,1,29,24
1556662139.725645000,84,2,44,24
1556662139.725651000,68,1,29,24
1556662139.725653000,76,1,27,24
1556662139.725655000,68,1,28,24
1556662139.725657000,330,2,40,243
1556662139.725714000,88,1,25,24
1556662139.744289000,136,2,40,300
1556662139.744295000,88,1,25,24
1556662139.794586000,356,2,40,300
1556662139.794592000,88,1,25,24
1556662139.794594000,475,2,40,300
1556662139.794596000,88,1,25,24
1556662139.795126000,76,1,27,24
1556662139.795132000,68,1,28,24
1556662139.795134000,136,2,40,243
1556662139.795136000,136,2,40,243
1556662139.795138000,88,1,25,24
1556662139.806093000,259,0,8,6
1556662139.806544000,264,0,8,6
1556662139.806550000,84,2,36,24
1556662139.806552000,68,1,29,24
1556662139.807023000,557,2,40,300
1556662139.807028000,88,1,25,24
1556662139.807465000,76,1,27,24
